ID,Gender,BAMajor,BAGPA,yrs_work,yrs_python,yrs_R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,GPA
20210131,F,Business,3.72,1,0,1,53.88,68.08,53.35,67.00,64.50,53.70,67.81,74.48,73.00,47.95,54.03,68.09,53.42,44.89,41.60,28.84,45.98,55.47,53.29,22.99,3.35
20210132,F,Computer Science,3.13,0,2,0,35.92,38.68,51.62,65.62,47.57,60.41,47.57,50.90,51.97,56.67,36.02,38.86,51.68,43.06,22.63,36.49,22.63,25.91,27.01,32.11,2.77
20210133,M,Computer Science,3.01,2,3,2,63.36,86.07,86.71,92.81,86.07,82.39,88.38,77.37,74.97,62.49,63.42,86.25,86.87,86.14,74.08,67.88,78.11,59.86,56.21,39.05,3.51
20210134,F,Electronic Engineering,3.10,2,1,0,69.56,66.73,58.88,60.41,59.50,75.70,67.00,50.90,46.40,27.02,69.71,66.82,58.90,36.49,35.40,57.30,44.89,25.91,21.53,7.30,3.14
20210135,M,Information Systems,3.06,3,4,2,90.60,72.75,72.75,84.79,78.54,94.56,87.13,91.02,84.58,20.93,90.76,72.81,72.87,71.89,61.69,89.42,75.92,82.85,71.54,4.38,3.39
20210136,F,Computer Science,4,3,3,2,75.96,79.46,86.92,82.61,91.02,85.22,74.48,89.40,78.77,44.39,76.04,79.58,87.06,68.24,82.85,72.62,55.47,79.92,62.05,19.70,4.06
20210137,M,Information Systems,3.10,1,4,2,77.37,70.19,72.49,72.24,82.83,64.50,88.58,75.94,74.97,58.57,77.50,70.39,72.64,52.19,68.61,41.60,78.46,57.67,56.21,34.30,3.21
20210138,M,Electronic Engineering,3.27,0,2,2,79.87,61.90,77.37,63.36,73.99,56.99,79.23,58.26,58.57,50.90,79.93,62.07,77.38,40.14,54.75,32.48,62.77,33.94,34.30,25.91,3.26
20210139,M,Business,3.05,1,1,1,69.56,57.63,56.35,68.62,49.45,63.36,67.81,68.35,67.27,50.90,69.61,57.69,56.36,47.09,24.45,40.14,45.98,46.72,45.25,25.91,3.04
20210140,M,Business,3.31,0,1,1,47.14,54.37,48.71,49.45,60.11,42.72,69.14,70.19,69.14,57.31,47.24,54.45,48.72,24.45,36.13,18.25,47.80,49.27,47.80,32.84,3.01
20210141,M,Business,3.31,0,1,1,47.14,54.37,48.71,49.45,60.11,42.72,69.14,70.19,69.14,57.31,47.21,54.49,48.73,24.45,36.13,18.25,47.80,49.27,47.80,32.84,3.01
20210142,M,Information Systems,3.55,2,3,1,61.93,80.83,65.62,67.27,71.99,86.92,79.00,67.81,87.34,35.23,61.98,80.95,65.75,45.25,51.83,75.55,62.41,45.98,76.28,12.41,3.40
20210143,F,Computer Science,3.53,4,4,1,85.51,71.74,75.45,99.45,95.71,96.85,91.42,81.28,97.41,49.82,85.66,71.79,75.56,98.90,91.60,93.80,83.58,66.06,94.89,24.82,3.90
20210144,F,Computer Science,3.27,1,4,1,72.59,56.99,67.54,74.24,87.34,70.97,71.99,90.21,85.22,67.00,72.65,57.12,67.64,55.12,76.28,50.37,51.83,81.38,72.62,44.89,3.56
20210145,F,Applied Math,3.11,1,1,2,90.00,76.65,63.36,66.45,66.18,57.31,58.57,74.97,61.01,57.31,90.03,76.77,63.45,44.16,43.80,32.84,34.30,56.21,37.22,32.84,3.15
20210146,M,Computer Science,3.19,1,2,0,65.31,37.73,62.49,69.41,81.50,67.27,62.49,73.99,52.67,59.81,65.47,37.93,62.55,48.18,66.42,45.25,39.05,54.75,27.74,35.77,3.26
20210147,F,Computer Science,3.19,3,2,0,43.17,57.95,70.71,79.69,87.96,84.58,67.27,82.83,70.45,0.00,43.35,58.07,70.89,63.50,77.37,71.54,45.25,68.61,49.63,0.00,3.14
20210148,F,Computer Science,3.14,0,3,2,70.58,72.75,60.11,76.65,69.14,66.18,78.30,78.07,70.97,73.49,70.72,72.90,60.12,58.75,47.80,43.80,61.31,60.95,50.37,54.01,3.37
20210149,M,Business,3.72,1,1,1,46.37,57.95,52.67,63.65,64.78,51.97,74.48,78.54,71.48,34.17,46.52,58.10,52.67,40.51,41.96,27.01,55.47,61.69,51.09,11.68,3.45
20210150,M,Electronic Engineering,3.47,3,4,1,84.67,71.99,72.75,89.61,94.37,91.02,95.71,80.37,94.95,18.12,84.83,72.13,72.86,80.30,89.06,82.85,91.60,64.59,90.16,3.28,3.64
20210151,F,Information Systems,3.13,3,2,2,67.73,82.17,73.25,74.73,77.13,79.00,81.28,73.25,84.14,51.62,67.83,82.17,73.40,55.85,59.49,62.41,66.06,53.66,70.80,26.65,3.31
20210152,M,Computer Science,3.29,3,3,2,87.38,73.00,84.79,96.09,97.04,91.02,83.93,93.00,84.36,27.68,87.43,73.05,84.92,92.33,94.17,82.85,70.44,86.49,71.17,7.66,3.49
20210153,F,Computer Science,3.12,1,4,2,72.59,70.19,74.97,71.99,70.19,92.41,90.62,84.79,74.73,69.67,72.79,70.28,75.01,51.83,49.27,85.40,82.12,71.89,55.85,48.54,3.45
20210154,F,Applied Math,3.50,0,2,3,92.36,90.21,87.55,69.41,56.99,63.65,73.25,67.81,78.30,54.03,92.37,90.30,87.67,48.18,32.48,40.51,53.66,45.98,61.31,29.19,3.61
20210155,M,Applied Math,3.79,1,2,1,86.76,74.48,71.48,54.71,69.67,56.99,56.35,57.63,58.57,63.36,86.88,74.55,71.62,29.93,48.54,32.48,31.75,33.21,34.30,40.14,3.53
20210156,M,Applied Math,3.44,3,1,2,92.94,83.93,88.99,83.71,70.71,82.61,76.65,68.62,75.94,44.39,93.00,83.93,89.10,70.07,50.00,68.24,58.75,47.09,57.67,19.70,3.53
20210157,F,Applied Math,3.35,4,0,3,100.00,79.92,92.22,79.46,91.22,78.07,67.27,67.81,68.62,36.75,100.00,100.00,100.00,63.14,83.21,60.95,45.25,45.98,47.09,13.51,3.48
20210158,F,Others,3.16,2,0,1,46.37,73.00,56.67,66.73,69.93,61.61,41.42,43.98,54.37,34.17,46.42,73.19,56.71,44.53,48.90,37.96,17.16,19.34,29.56,11.68,3.03
20210159,M,Applied Math,2.58,0,1,4,46.35,73.02,56.66,66.74,69.97,61.55,41.42,43.98,54.39,34.15,46.45,73.26,56.77,44.46,48.90,37.95,17.15,19.35,29.52,11.72,3.08
20210160,M,Applied Math,3.24,3,2,4,94.19,97.86,90.21,87.96,88.79,93.98,78.54,72.75,80.60,53.35,94.26,98.01,90.32,77.37,78.84,88.32,61.69,52.93,64.96,28.46,3.64
20210161,F,Computer Science,3.59,3,2,0,57.74,66.45,47.57,86.50,91.42,77.84,79.69,63.36,73.25,43.98,57.84,66.56,47.67,74.82,83.58,60.59,63.50,40.14,53.66,19.34,3.37
20210162,F,Electronic Engineering,3.34,3,3,0,66.93,61.01,68.35,74.24,89.20,75.94,80.60,66.73,89.40,37.73,66.99,61.11,68.47,55.12,79.57,57.67,64.96,44.53,79.92,14.24,3.39
20210163,M,Information Systems,3.15,1,2,2,61.35,67.54,64.50,73.49,72.75,79.00,83.05,66.18,64.22,30.21,61.51,67.65,64.56,54.01,52.93,62.41,68.97,43.80,41.24,9.13,3.20
20210164,M,Computer Science,3.33,0,3,2,71.59,74.73,65.90,65.90,63.36,69.67,79.69,68.88,76.89,68.88,71.60,74.79,66.06,43.43,40.14,48.54,63.50,47.44,59.12,47.44,3.32
20210165,M,Information Systems,3.71,0,3,1,53.88,59.50,75.70,67.54,65.07,46.40,72.24,67.54,83.93,45.21,53.95,59.55,75.80,45.62,42.34,21.53,52.19,45.62,70.44,20.44,3.52
20210166,M,Applied Math,2.63,1,1,3,91.58,83.27,84.14,72.24,65.35,73.00,61.61,52.67,65.62,42.29,91.60,83.42,84.17,52.19,42.71,53.29,37.96,27.74,43.06,17.88,2.97
20210167,M,Business,3.91,0,2,1,50.45,65.07,51.62,67.81,49.08,33.64,69.41,79.00,83.93,59.19,50.57,65.13,51.79,45.98,24.09,11.32,48.18,62.41,70.44,35.03,3.63
20210168,M,Applied Math,3.08,3,2,4,90.00,100.00,100,93.59,88.38,92.81,77.37,74.48,72.49,55.70,90.14,100.00,100.00,87.59,78.11,86.14,59.86,55.47,52.55,31.02,3.66
20210169,M,Computer Science,3.50,2,1,0,55.84,59.50,39.15,65.90,69.93,88.58,73.99,65.07,59.50,43.14,56.01,59.59,39.29,43.43,48.90,78.46,54.75,42.34,35.40,18.61,3.20
20210170,F,Business,3.49,2,1,0,45.99,49.82,43.56,61.01,57.95,62.49,67.27,75.21,69.93,31.97,46.13,49.86,43.59,37.22,33.58,39.05,45.25,56.57,48.90,10.22,3.07
20210171,F,Electronic Engineering,3.26,3,1,0,49.37,55.70,53.01,71.22,86.29,70.71,73.99,63.65,57.95,0.00,49.46,55.73,53.05,50.72,74.46,50.00,54.75,40.51,33.58,0.00,3.04
20210172,F,Computer Science,3.19,3,2,0,43.17,57.95,70.71,79.69,87.96,84.58,67.27,82.83,70.45,0.00,43.27,57.96,70.72,63.50,77.37,71.54,45.25,68.61,49.63,0.00,3.14
20210173,M,Information Systems,3.18,0,3,2,74.29,69.41,67.00,51.26,49.45,76.18,66.18,70.71,65.90,58.57,74.47,69.43,67.01,26.28,24.45,58.03,43.80,50.00,43.43,34.30,3.14
20210174,M,Applied Math,3.68,2,2,3,93.33,84.14,75.21,72.49,63.93,83.05,78.30,64.22,67.54,51.62,93.43,84.28,75.25,52.55,40.87,68.97,61.31,41.24,45.62,26.65,3.77
20210175,M,Computer Science,3.22,2,3,2,71.84,73.99,65.62,93.20,86.07,82.61,81.50,85.65,91.02,35.23,71.89,74.19,65.73,86.86,74.08,68.24,66.42,73.36,82.85,12.41,3.50
20210176,M,Information Systems,3.06,2,3,3,91.97,76.18,90.82,75.94,90.82,76.18,83.05,86.71,75.45,57.95,92.07,76.20,90.90,57.67,82.48,58.03,68.97,75.19,56.93,33.58,3.42
20210177,F,Information Systems,4,0,2,2,78.74,74.97,75.45,59.19,65.35,65.90,80.83,74.97,58.26,64.50,78.77,75.11,75.48,35.03,42.71,43.43,65.33,56.21,33.94,41.60,3.80
20210178,M,Computer Science,3.19,3,2,0,53.55,50.18,70.97,90.62,83.93,90.01,77.60,63.93,68.35,0.00,53.59,50.22,71.11,82.12,70.44,81.02,60.22,40.87,46.72,0.00,3.17
20210179,M,Applied Math,3.66,4,1,4,98.74,97.41,83.93,92.81,95.52,87.75,81.95,72.75,84.79,50.54,98.81,97.50,83.95,86.14,91.24,77.00,67.16,52.93,71.89,25.54,3.79
20210180,M,Computer Science,3.46,3,3,1,75.49,71.74,79.23,96.66,81.72,84.58,74.48,84.14,82.17,42.29,75.67,71.92,79.42,93.43,66.78,71.54,55.47,70.80,67.52,17.88,3.73
20210181,F,Applied Math,3.11,3,2,2,79.42,81.50,90.42,81.72,80.37,81.95,64.50,73.25,83.27,39.61,79.56,81.60,90.54,66.78,64.59,67.16,41.60,53.66,69.34,15.69,3.28
20210182,F,Liberal Arts,3.15,1,1,1,65.86,51.62,65.90,49.82,52.32,74.48,67.81,76.89,73.49,59.19,66.04,51.77,66.04,24.82,27.37,55.47,45.98,59.12,54.01,35.03,3.21
20210183,M,Business,3.03,1,1,0,31.68,63.07,46.80,53.01,49.45,54.03,58.88,58.26,69.41,46.80,31.70,63.24,46.97,28.10,24.45,29.19,34.67,33.94,48.18,21.90,2.76
20210184,F,Computer Science,3.19,3,2,0,43.17,57.95,70.71,79.69,87.96,84.58,67.27,82.83,70.45,0.00,43.20,57.99,70.74,63.50,77.37,71.54,45.25,68.61,49.63,0.00,3.14
20210185,M,Computer Science,3.19,1,2,0,65.31,37.73,62.49,69.41,81.50,67.27,62.49,73.99,52.67,59.81,65.47,37.92,62.61,48.18,66.42,45.25,39.05,54.75,27.74,35.77,3.26
20210186,F,Applied Math,3.35,4,0,3,100.00,79.92,92.22,79.46,91.22,78.07,67.27,67.81,68.62,36.75,100.00,100.00,100.00,63.14,83.21,60.95,45.25,45.98,47.09,13.51,3.48
20210187,M,Business,3.45,1,1,1,73.08,50.18,69.41,56.35,72.24,70.71,58.26,79.69,61.31,43.98,73.15,50.37,69.54,31.75,52.19,50.00,33.94,63.50,37.59,19.34,3.24
20210188,F,Computer Science,3.07,3,3,1,66.13,68.62,71.22,85.22,92.41,86.50,78.07,79.92,86.71,13.51,66.13,68.75,71.32,72.62,85.40,74.82,60.95,63.87,75.19,1.83,3.33
20210189,M,Applied Math,3.05,4,0,2,93.90,81.50,83.05,89.40,79.92,73.99,56.99,73.74,76.18,0.00,94.00,81.65,83.24,79.92,63.87,54.75,32.48,54.38,58.03,0.00,3.29
20210190,M,Information Systems,3.03,4,2,2,76.90,85.65,91.42,87.13,82.39,98.34,87.13,78.07,70.45,0.00,76.98,85.73,91.47,75.92,67.88,96.71,75.92,60.95,49.63,0.00,3.40
20210191,F,Applied Math,3.23,3,0,2,86.76,82.39,67.27,86.50,86.07,77.60,54.03,73.00,65.07,23.40,86.86,82.49,67.45,74.82,74.08,60.22,29.19,53.29,42.34,5.48,3.37
20210192,M,Others,3.02,0,1,1,57.42,51.62,48.71,36.75,56.02,42.29,52.67,58.26,59.81,59.50,57.54,51.73,48.79,13.51,31.38,17.88,27.74,33.94,35.77,35.40,2.91
20210193,M,Computer Science,3.92,0,4,2,82.52,68.08,74.24,66.18,64.22,83.27,84.58,73.25,86.71,72.49,82.62,68.21,74.27,43.80,41.24,69.34,71.54,53.66,75.19,52.55,3.86
20210194,F,Electronic Engineering,3.20,4,2,2,71.09,84.58,86.07,92.02,94.17,87.13,76.42,85.65,72.24,27.02,71.26,84.59,86.14,84.68,88.68,75.92,58.40,73.36,52.19,7.30,3.46
20210195,M,Electronic Engineering,3.09,1,3,1,72.59,68.08,65.35,80.37,63.36,65.35,82.39,74.24,68.62,52.67,72.69,68.26,65.43,64.59,40.14,42.71,67.88,55.12,47.09,27.74,3.13
20210196,M,Electronic Engineering,2.57,1,1,1,70.58,57.63,50.90,61.01,48.71,52.67,72.75,43.98,67.81,51.26,70.71,57.83,51.03,37.22,23.73,27.74,52.93,19.34,45.98,26.28,2.65
20210197,F,Applied Math,3.10,0,0,2,66.93,72.49,79.92,55.37,40.07,54.37,36.75,53.70,49.82,27.02,67.01,72.57,80.11,30.66,16.06,29.56,13.51,28.84,24.82,7.30,3.05
20210198,F,Applied Math,3.21,1,0,3,81.87,75.70,88.38,50.90,56.35,64.22,53.01,49.08,49.08,32.53,82.03,75.75,88.39,25.91,31.75,41.24,28.10,24.09,24.09,10.58,3.22
20210199,M,Computer Science,3.35,1,3,0,39.26,67.54,41.42,79.46,83.05,75.21,84.58,82.61,69.41,56.67,39.33,67.69,41.60,63.14,68.97,56.57,71.54,68.24,48.18,32.11,3.44
20210200,F,Applied Math,3.65,2,0,3,76.90,83.27,86.07,82.39,60.41,66.73,67.81,48.71,73.49,40.97,76.96,83.44,86.16,67.88,36.49,44.53,45.98,23.73,54.01,16.79,3.64
20210201,F,Applied Math,3.10,2,1,1,76.20,58.26,68.62,65.90,80.60,64.78,71.74,56.35,69.93,38.21,76.26,58.33,68.80,43.43,64.96,41.96,51.47,31.75,48.90,14.60,3.06
20210202,M,Information Systems,3.18,0,3,2,74.29,69.41,67.00,51.26,49.45,76.18,66.18,70.71,65.90,58.57,74.40,69.56,67.20,26.28,24.45,58.03,43.80,50.00,43.43,34.30,3.14
20210203,M,Information Systems,3.91,1,4,2,81.21,83.49,75.70,79.23,76.65,76.89,87.34,87.55,80.83,42.29,81.22,83.51,75.84,62.77,58.75,59.12,76.28,76.65,65.33,17.88,3.72
20210204,F,Others,3.26,0,2,0,35.42,62.20,57.95,46.40,39.15,49.82,57.95,70.71,46.80,48.33,35.57,62.28,58.14,21.53,15.33,24.82,33.58,50.00,21.90,23.36,2.83
20210205,F,Electronic Engineering,3.36,0,3,1,60.17,65.62,59.19,70.71,60.71,57.63,66.73,73.25,61.61,70.19,60.32,65.62,59.34,50.00,36.86,33.21,44.53,53.66,37.96,49.27,3.15
20210206,F,Applied Math,3.53,0,0,2,73.57,79.23,73.99,38.68,47.57,33.09,65.35,35.74,28.34,57.31,73.70,79.24,74.00,14.96,22.63,10.95,42.71,12.77,8.03,32.84,3.12
20210207,M,Applied Math,3.08,3,2,4,90.00,100.00,100,93.59,88.38,92.81,77.37,74.48,72.49,55.70,90.02,100.00,100.00,87.59,78.11,86.14,59.86,55.47,52.55,31.02,3.66
20210208,M,Information Systems,3.06,2,3,3,91.97,76.18,90.82,75.94,90.82,76.18,83.05,86.71,75.45,57.95,92.14,76.31,90.87,57.67,82.48,58.03,68.97,75.19,56.93,33.58,3.42
20210209,F,Electronic Engineering,3.34,3,2,2,83.60,85.22,70.97,78.54,93.40,90.21,63.93,73.74,76.65,45.61,83.70,85.29,71.14,61.69,87.24,81.38,40.87,54.38,58.75,20.80,3.53
20210210,F,Information Systems,3.13,3,2,2,67.73,82.17,73.25,74.73,77.13,79.00,81.28,73.25,84.14,51.62,67.92,82.25,73.33,55.85,59.49,62.41,66.06,53.66,70.80,26.65,3.31
20210211,F,Information Systems,3.14,1,2,2,64.76,78.07,73.49,56.67,63.36,59.50,79.00,61.90,66.45,46.80,64.84,78.14,73.63,32.11,40.14,35.40,62.41,38.32,44.16,21.90,3.28
20210212,M,Information Systems,3.55,2,3,1,61.93,80.83,65.62,67.27,71.99,86.92,79.00,67.81,87.34,35.23,62.00,80.96,65.63,45.25,51.83,75.55,62.41,45.98,76.28,12.41,3.40
20210213,F,Applied Math,3.46,2,1,2,89.00,67.81,79.46,68.88,62.78,68.35,60.41,63.07,57.95,0.00,89.04,67.99,79.62,47.44,39.41,46.72,36.49,39.78,33.58,0.00,3.28
20210214,F,Others,3.16,3,2,0,47.89,61.90,55.04,87.34,67.81,82.61,77.84,67.54,81.95,0.00,48.02,61.94,55.08,76.28,45.98,68.24,60.59,45.62,67.16,0.00,3.25
20210215,F,Liberal Arts,2.68,3,1,1,56.80,78.77,80.60,87.96,82.61,85.65,76.89,86.29,75.45,30.21,56.98,78.81,80.80,77.37,68.24,73.36,59.12,74.46,56.93,9.13,3.20
20210216,F,Applied Math,3.28,1,1,3,78.74,75.45,87.55,73.00,50.90,53.70,56.35,55.04,55.04,63.93,78.89,75.62,87.64,53.29,25.91,28.84,31.75,30.29,30.29,40.87,3.14
20210217,M,Others,3.02,0,1,1,57.42,51.62,48.71,36.75,56.02,42.29,52.67,58.26,59.81,59.50,57.61,51.75,48.79,13.51,31.38,17.88,27.74,33.94,35.77,35.40,2.91
20210218,M,Others,3.05,1,2,0,50.09,37.24,50.90,66.73,73.00,63.07,61.31,56.99,71.22,43.56,50.14,37.34,51.00,44.53,53.29,39.78,37.59,32.48,50.72,18.97,2.88
20210219,M,Business,3.02,3,1,1,69.30,51.26,68.88,76.42,79.46,79.69,73.00,69.67,71.74,0.00,69.47,51.34,69.04,58.40,63.14,63.50,53.29,48.54,51.47,0.00,3.14
20210220,M,Business,3.26,0,1,1,69.56,64.50,56.35,61.31,56.02,33.09,75.45,80.15,62.20,35.74,69.68,64.58,56.54,37.59,31.38,10.95,56.93,64.24,38.69,12.77,3.08
20210221,F,Computer Science,3.45,3,3,1,61.35,80.15,64.78,86.07,80.37,86.50,90.21,75.21,83.71,42.72,61.42,80.15,64.84,74.08,64.59,74.82,81.38,56.57,70.07,18.25,3.66
20210222,M,Computer Science,3.07,0,2,1,65.58,50.90,49.82,47.57,51.97,73.00,78.30,63.93,77.84,54.03,65.59,50.98,49.92,22.63,27.01,53.29,61.31,40.87,60.59,29.19,3.12
20210223,M,Computer Science,3.14,2,2,1,59.87,55.70,58.57,82.39,79.00,85.44,60.71,78.77,79.92,53.35,59.87,55.85,58.63,67.88,62.41,73.00,36.86,62.05,63.87,28.46,3.27
20210224,F,Computer Science,3.19,3,2,0,43.17,57.95,70.71,79.69,87.96,84.58,67.27,82.83,70.45,0.00,43.17,58.01,70.85,63.50,77.37,71.54,45.25,68.61,49.63,0.00,3.14
20210225,F,Computer Science,3.22,2,3,1,71.59,64.22,55.04,83.49,91.02,78.30,73.25,80.60,71.22,40.53,71.73,64.30,55.06,69.71,82.85,61.31,53.66,64.96,50.72,16.43,3.41
20210226,F,Electronic Engineering,3.24,0,3,0,46.76,65.90,68.62,52.67,56.35,65.35,63.93,77.60,67.81,36.25,46.89,65.97,68.62,27.74,31.75,42.71,40.87,60.22,45.98,13.14,3.04
20210227,F,Others,3.45,4,1,0,66.13,56.35,73.74,80.15,69.93,73.49,73.74,68.35,78.30,12.08,66.29,56.35,73.88,64.24,48.90,54.01,54.38,46.72,61.31,1.46,3.46
20210228,M,Applied Math,3.05,4,0,2,93.90,81.50,83.05,89.40,79.92,73.99,56.99,73.74,76.18,0.00,93.99,81.65,83.10,79.92,63.87,54.75,32.48,54.38,58.03,0.00,3.29
20210229,M,Business,2.96,3,1,1,77.37,63.07,61.61,85.65,78.54,72.49,73.00,80.83,72.75,0.00,77.45,63.12,61.75,73.36,61.69,52.55,53.29,65.33,52.93,0.00,3.04
20210230,M,Computer Science,3.18,0,1,2,77.14,53.70,63.93,59.50,51.97,79.23,53.35,72.49,47.18,42.29,77.14,53.80,64.12,35.40,27.01,62.77,28.46,52.55,22.26,17.88,3.21
20210231,M,Applied Math,3.13,3,1,3,91.19,94.95,89.81,78.77,69.93,88.17,70.45,74.24,75.45,44.80,91.19,95.08,89.89,62.05,48.90,77.74,49.63,55.12,56.93,20.07,3.40
20210232,F,Information Systems,3.31,0,1,2,68.78,80.15,76.42,38.68,58.88,56.99,68.35,50.18,64.22,64.22,68.78,80.35,76.48,14.96,34.67,32.48,46.72,25.18,41.24,41.24,3.34
20210233,F,Electronic Engineering,3.12,0,2,1,74.54,67.27,65.07,42.29,40.53,67.54,67.27,56.67,71.22,61.90,74.62,67.41,65.16,17.88,16.43,45.62,45.25,32.11,50.72,38.32,3.20
20210234,M,Computer Science,3.29,3,3,2,87.38,73.00,84.79,96.09,97.04,91.02,83.93,93.00,84.36,27.68,87.50,73.04,84.81,92.33,94.17,82.85,70.44,86.49,71.17,7.66,3.49
20210235,M,Computer Science,3.19,3,2,0,53.55,50.18,70.97,90.62,83.93,90.01,77.60,63.93,68.35,0.00,53.69,50.26,71.04,82.12,70.44,81.02,60.22,40.87,46.72,0.00,3.17
20210236,F,Liberal Arts,3.50,3,1,0,69.82,68.08,45.61,75.21,83.93,65.62,63.36,73.74,63.36,24.91,69.95,68.17,45.74,56.57,70.44,43.06,40.14,54.38,40.14,6.21,3.47
20210237,M,Electronic Engineering,3.27,0,2,2,79.87,61.90,77.37,63.36,73.99,56.99,79.23,58.26,58.57,50.90,79.92,61.91,77.48,40.14,54.75,32.48,62.77,33.94,34.30,25.91,3.26
20210238,M,Electronic Engineering,3.30,1,2,0,41.91,53.70,62.78,59.81,64.78,67.81,59.19,61.31,64.50,42.29,41.96,53.87,62.94,35.77,41.96,45.98,35.03,37.59,41.60,17.88,3.10
20210239,M,Applied Math,3.13,3,1,3,91.19,94.95,89.81,78.77,69.93,88.17,70.45,74.24,75.45,44.80,91.24,94.98,90.01,62.05,48.90,77.74,49.63,55.12,56.93,20.07,3.40
20210240,F,Applied Math,3.06,3,2,1,85.51,81.05,83.93,68.08,86.92,79.92,79.00,67.00,61.31,0.00,85.52,81.13,83.94,46.35,75.55,63.87,62.41,44.89,37.59,0.00,3.33
20210241,M,Computer Science,3.18,0,1,2,77.14,53.70,63.93,59.50,51.97,79.23,53.35,72.49,47.18,42.29,77.22,53.80,64.08,35.40,27.01,62.77,28.46,52.55,22.26,17.88,3.21
20210242,F,Applied Math,3.24,0,0,3,75.73,75.70,68.35,51.62,47.18,35.23,44.80,46.40,59.19,46.01,75.88,75.85,68.49,26.65,22.26,12.41,20.07,21.53,35.03,21.17,3.01
20210243,M,Business,3.17,2,1,2,71.09,70.97,77.13,72.24,78.30,72.49,83.93,69.67,69.41,46.40,71.11,71.13,77.29,52.19,61.31,52.55,70.44,48.54,48.18,21.53,3.45
20210244,M,Others,3.13,0,1,0,62.50,48.71,57.63,49.45,20.04,58.57,33.64,61.61,67.54,57.31,62.57,48.84,57.63,24.45,4.02,34.30,11.32,37.96,45.62,32.84,2.81
20210245,F,Others,3.34,3,1,1,62.50,60.11,78.07,72.49,85.86,64.78,72.24,78.77,75.45,40.97,62.50,60.24,78.18,52.55,73.72,41.96,52.19,62.05,56.93,16.79,3.41
20210246,M,Business,3.55,3,1,1,70.84,69.67,65.07,66.73,69.14,70.45,65.07,65.62,73.74,15.98,71.02,69.70,65.13,44.53,47.80,49.63,42.34,43.06,54.38,2.55,3.45
20210247,F,Others,3.15,0,2,1,63.36,42.72,72.24,59.19,49.45,59.81,65.07,67.54,74.73,50.90,63.47,42.76,72.31,35.03,24.45,35.77,42.34,45.62,55.85,25.91,3.07
20210248,M,Computer Science,3.92,0,4,2,82.52,68.08,74.24,66.18,64.22,83.27,84.58,73.25,86.71,72.49,82.63,68.24,74.26,43.80,41.24,69.34,71.54,53.66,75.19,52.55,3.86
20210249,M,Electronic Engineering,2.57,1,1,1,70.58,57.63,50.90,61.01,48.71,52.67,72.75,43.98,67.81,51.26,70.66,57.80,50.95,37.22,23.73,27.74,52.93,19.34,45.98,26.28,2.65
20210250,M,Computer Science,3.22,2,3,2,71.84,73.99,65.62,93.20,86.07,82.61,81.50,85.65,91.02,35.23,71.88,74.15,65.77,86.86,74.08,68.24,66.42,73.36,82.85,12.41,3.50
20210251,M,Computer Science,3.18,0,1,2,77.14,53.70,63.93,59.50,51.97,79.23,53.35,72.49,47.18,42.29,77.22,53.71,63.94,35.40,27.01,62.77,28.46,52.55,22.26,17.88,3.21
20210252,F,Applied Math,3.45,3,2,2,89.80,92.81,78.30,69.67,88.58,77.37,80.60,80.15,72.24,24.16,89.86,92.88,78.45,48.54,78.46,59.86,64.96,64.24,52.19,5.84,3.60
20210253,F,Information Systems,3.27,1,4,3,85.51,77.37,94.75,80.83,76.18,69.14,82.61,84.14,87.96,67.00,85.61,77.48,94.94,65.33,58.03,47.80,68.24,70.80,77.37,44.89,3.59
20210254,M,Others,3.04,1,1,1,72.83,68.08,59.81,48.71,57.95,64.22,51.26,69.14,43.56,27.68,72.96,68.25,59.92,23.73,33.58,41.24,26.28,47.80,18.97,7.66,2.99
20210255,F,Applied Math,3.31,3,1,3,87.58,93.00,80.60,88.58,70.97,81.95,59.81,79.92,63.65,0.00,87.74,93.00,80.63,78.46,50.37,67.16,35.77,63.87,40.51,0.00,3.39
20210256,F,Information Systems,4,2,3,2,67.47,79.46,78.77,84.58,89.20,73.00,69.67,74.73,79.92,37.73,67.49,79.55,78.94,71.54,79.57,53.29,48.54,55.85,63.87,14.24,3.92
20210257,F,Computer Science,3.22,2,3,1,71.59,64.22,55.04,83.49,91.02,78.30,73.25,80.60,71.22,40.53,71.73,64.38,55.07,69.71,82.85,61.31,53.66,64.96,50.72,16.43,3.41
20210258,M,Electronic Engineering,3.05,3,3,2,88.19,77.60,73.99,93.59,92.41,81.50,76.42,72.75,81.95,35.74,88.25,77.74,74.05,87.59,85.40,66.42,58.40,52.93,67.16,12.77,3.33
20210259,F,Information Systems,3.87,0,2,3,81.43,73.99,83.93,47.18,58.57,67.00,73.74,81.50,68.88,56.67,81.59,74.05,83.94,22.26,34.30,44.89,54.38,66.42,47.44,32.11,3.68
20210260,M,Others,3.46,4,2,2,76.43,81.05,79.23,81.95,93.59,79.00,80.60,81.28,85.01,44.39,76.58,81.21,79.30,67.16,87.59,62.41,64.96,66.06,72.27,19.70,3.56
20210261,F,Computer Science,3.14,0,3,2,70.58,72.75,60.11,76.65,69.14,66.18,78.30,78.07,70.97,73.49,70.61,72.93,60.28,58.75,47.80,43.80,61.31,60.95,50.37,54.01,3.37
